,CompanyCode,Type,Market,Code,List,Last trade,Delist,Notes
84,1398,Note/bond 2020-09-1,HK Main,85906,2019-09-17,,,
85,1398,Note/bond 2021-09-1,HK Main,6012,2019-09-17,,,
86,1398,Note/bond 2021-12-0,HK Main,4529,2011-12-08,,,
87,1398,Note/bond 2022-02-2,HK Main,5374,2017-02-22,,,
88,1398,Note/bond 2022-02-2,HK Main,5375,2017-02-22,,,
89,1398,Note/bond 2022-06-2,HK Main,5226,2017-06-28,,,
90,1398,Note/bond 2022-09-1,HK Main,6010,2019-09-17,,,
91,1398,Note/bond 2022-09-1,HK Main,6013,2019-09-17,,,
92,1398,Note/bond 2024-02-2,HK Main,85955,2014-03-20,,,
93,1398,Note/bond 2024-09-1,HK Main,6008,2019-09-17,,,
94,1398,Note/bond 2025-09-2,HK Main,5566,2015-09-22,,,
95,1551,PRC ordinary shares listed in HK,HK Main,1551,2017-06-20,,,
96,1551,Preference,HK Main,4618,2019-06-21,,,
97,1578,PRC ordinary shares listed in HK,HK Main,1578,2016-03-30,,,
98,1658,PRC ordinary shares listed in HK,HK Main,1658,2016-09-28,,,
99,1658,A-share,Shang,601658,2019-12-10,,,
100,1658,Preference,HK Main,4612,2017-09-28,,,
101,1916,PRC ordinary shares listed in HK,HK Main,1916,2018-06-26,,,
102,1963,PRC ordinary shares listed in HK,HK Main,1963,2013-11-06,,,
103,1963,Preference,HK Main,4616,2017-12-21,,,
104,1983,PRC ordinary shares listed in HK,HK Main,1983,2018-12-17,,,
105,1988,PRC ordinary shares listed in HK,HK Main,1988,2009-11-26,,,
106,1988,A-share,Shang,600016,2000-12-19,,,
107,1988,Preference,HK Main,4609,2016-12-15,,,
108,1988,Note/bond 2018-05-2,HK Main,5518,2015-05-22,2018-05-16,2018-05-23,Expired
109,1988,Note/bond 2020-05-0,HK Main,4581,2017-05-08,,,
110,1988,Note/bond 2020-09-1,HK Main,5268,2017-09-12,,,
111,1988,Note/bond 2020-11-1,HK Main,5018,2017-11-16,,,
112,1988,Note/bond 2020-11-1,HK Main,5017,2017-11-16,,,
113,1988,Note/bond 2021-03-0,HK Main,4444,2018-03-12,,,
114,1988,Note/bond 2022-09-1,HK Main,5269,2017-09-12,,,
115,1988,Note/bond 2023-03-0,HK Main,4445,2018-03-12,,,
116,2016,PRC ordinary shares listed in HK,HK Main,2016,2016-03-30,,,
117,2016,A-share,Shang,601916,2019-11-26,,,
118,2016,Preference,HK Main,4610,2017-03-30,,,
119,2066,PRC ordinary shares listed in HK,HK Main,2066,2014-12-29,,,
120,2139,PRC ordinary shares listed in HK,HK Main,2139,2018-01-18,,,
121,2356,Ordinary shares,HK Main,2356,2004-06-30,,,
122,2356,Nil-paid rights 2010-12-1,HK Main,2955,2010-11-30,2010-12-14,2010-12-15,Expired
123,2356,Nil-paid rights 2014-04-3,HK Main,2993,2014-04-09,2014-04-25,2014-04-28,Expired
124,2388,Ordinary shares,HK Main,2388,2002-07-25,,,
125,2558,PRC ordinary shares listed in HK,HK Main,2558,2019-07-18,,,
126,2888,Ordinary shares,HK Main,2888,2002-10-31,,,
127,2888,Nil-paid rights,HK Main,2921,2015-11-25,2015-12-07,2015-12-08,Expired
128,2888,Nil-paid rights 2008-12-1,HK Main,2976,2008-12-02,2008-12-12,2008-12-15,Expired
129,2888,Nil-paid rights 2010-11-0,HK Main,2942,2010-10-25,2010-11-02,2010-11-03,Expired
130,2888,Note/bond,HK Main,5890,2015-04-08,,,
131,2888,Note/bond,HK Main,4305,2016-08-19,,,
132,2888,Note/bond,HK Main,5348,2017-01-19,,,
133,2888,Note/bond,HK Main,5986,2019-07-04,,,
134,2888,Note/bond 2018-06-0,HK Main,5526,2015-06-08,2018-05-31,2018-06-06,Expired
135,2888,Note/bond 2020-06-0,HK Main,5527,2015-06-08,,,
136,2888,Note/bond 2021-09-1,HK Main,4324,2016-09-19,,,
137,2888,Note/bond 2024-11-2,HK Main,5475,2018-12-07,,,
138,2888,Note/bond 2025-06-0,HK Main,5528,2015-06-08,,,
139,3328,PRC ordinary shares listed in HK,HK Main,3328,2005-06-23,,,
140,3328,A-share,Shang,601328,2007-05-15,,,
141,3328,Preference,HK Main,4605,2015-07-30,,,
142,3328,Nil-paid rights 2010-07-0,HK Main,2918,2010-06-28,2010-07-06,2010-07-07,Expired
143,3328,Note/bond 2016-0,HK Main,85954,2014-03-21,2016-03-16,2016-03-22,Expired
144,3328,Note/bond 2017-01-1,HK Main,6007,2014-01-16,2017-01-11,2017-01-17,Expired
145,3328,Note/bond 2018-01-1,HK Main,5856,2015-01-19,2018-01-11,2018-01-17,Expired
146,3328,Note/bond 2018-08-2,HK Main,5561,2015-08-24,2018-08-16,2018-08-22,Expired
147,3328,Note/bond 2019-01-2,HK Main,5609,2016-01-26,2019-01-22,2019-01-28,Expired
148,3328,Note/bond 2019-03-2,HK Main,5620,2016-03-22,2019-03-18,2019-03-22,Expired
149,3328,Note/bond 2019-04-2,HK Main,5729,2014-04-28,2019-04-18,2019-04-26,Expired
150,3328,Note/bond 2019-08-1,HK Main,5698,2016-08-17,2019-08-13,2019-08-19,Expired
151,3328,Note/bond 2020-02-2,HK Main,5376,2017-02-22,,,
152,3328,Note/bond 2020-05-1,HK Main,5202,2017-05-16,,,
153,3328,Note/bond 2020-05-1,HK Main,4495,2018-05-21,,,
154,3328,Note/bond 2020-08-2,HK Main,5560,2015-08-24,,,
155,3328,Note/bond 2020-12-0,HK Main,5046,2017-12-05,,,
156,3328,Note/bond 2021-03-2,HK Main,5621,2016-03-22,,,
157,3328,Note/bond 2021-03-2,HK Main,85741,2019-03-22,,,
158,3328,Note/bond 2021-05-1,HK Main,4493,2018-05-18,,,
159,3328,Note/bond 2022-03-2,HK Main,5912,2019-03-22,,,
160,3328,Note/bond 2022-05-1,HK Main,5203,2017-05-16,,,
161,3328,Note/bond 2022-12-0,HK Main,5047,2017-12-05,,,
162,3328,Note/bond 2023-03-0,HK Main,5909,2013-03-07,,,
163,3328,Note/bond 2023-05-1,HK Main,4494,2018-05-18,,,
164,3328,Note/bond 2024-03-2,HK Main,5914,2019-03-22,,,
165,3328,Note/bond 2024-10-0,HK Main,5808,2014-10-06,2019-10-08,2019-10-14,Redeemed
166,3328,Note/bond 2026-10-0,HK Main,5809,2014-10-06,,,
167,3618,PRC ordinary shares listed in HK,HK Main,3618,2010-12-16,,,
168,3618,A-share,Shang,601077,2019-10-29,,,
169,3698,PRC ordinary shares listed in HK,HK Main,3698,2013-11-12,,,
170,3698,Preference,HK Main,4608,2016-11-11,,,
171,3866,PRC ordinary shares listed in HK,HK Main,3866,2015-12-03,,,
172,3866,Preference,HK Main,4611,2017-09-20,,,
173,3968,PRC ordinary shares listed in HK,HK Main,3968,2006-09-22,,,
174,3968,A-share,Shang,600036,2002-04-09,,,
175,3968,Preference,HK Main,4614,2017-10-26,,,
176,3968,Nil-paid rights 2010-03-2,HK Main,2998,2010-03-17,2010-03-24,2010-03-25,Expired
177,3968,Nil-paid rights 2013-09-1,HK Main,2939,2013-09-09,2013-09-16,2013-09-17,Expired
178,3968,Note/bond 2017-04-1,HK Main,85957,2014-04-11,2017-04-05,2017-04-11,Expired
179,3968,Note/bond 2017-06-1,HK Main,5761,2014-06-13,2017-06-07,2017-06-13,Expired
180,3968,Note/bond 2018-05-1,HK Main,5515,2015-05-15,2018-05-09,2018-05-15,Expired
181,3968,Note/bond 2019-08-1,HK Main,5789,2014-08-12,2019-08-07,2019-08-13,Expired
182,3968,Note/bond 2020-06-1,HK Main,5219,2017-06-13,,,
183,3968,Note/bond 2021-06-0,HK Main,5108,2018-06-04,,,
184,3968,Note/bond 2021-09-2,HK Main,5178,2018-09-27,,,
185,3968,Note/bond 2022-06-1,HK Main,5079,2019-06-20,,,
186,3968,Note/bond 2023-09-2,HK Main,5179,2018-09-27,,,
187,3988,PRC ordinary shares listed in HK,HK Main,3988,2006-06-01,,,
188,3988,A-share,Shang,601988,2006-07-05,,,
189,3988,Preference,HK Main,4601,2014-10-24,2019-10-24,2019-10-25,Redeemed
190,3988,Nil-paid rights 2010-12-0,HK Main,2946,2010-11-18,2010-11-30,2010-12-01,Expired
191,3988,Note/bond 2015-0,HK Main,86029,2012-07-24,2015-07-20,2015-07-24,Expired
192,3988,Note/bond 2016-12-0,HK Main,6000,2013-12-09,2016-12-01,2016-12-07,Expired
193,3988,Note/bond 2017-01-1,HK Main,85942,2014-01-17,2017-01-11,2017-01-17,Expired
194,3988,Note/bond 2017-01-2,HK Main,6009,2014-01-24,2017-01-18,2017-01-24,Expired
195,3988,Note/bond 2017-11-2,HK Main,5837,2014-11-27,2017-11-22,2017-11-28,Expired
196,3988,Note/bond 2018-06-3,HK Main,5536,2015-07-02,2018-06-27,2018-07-04,Expired
197,3988,Note/bond 2018-07-1,HK Main,85724,2016-07-13,2018-07-09,2018-07-13,Expired
198,3988,Note/bond 2019-01-2,HK Main,6010,2014-01-24,2019-01-18,2019-01-24,Expired
199,3988,Note/bond 2019-03-0,HK Main,5615,2016-03-02,2019-02-26,2019-03-04,Expired
200,3988,Note/bond 2019-03-0,HK Main,5617,2016-03-02,2019-02-26,2019-03-04,Expired
201,3988,Note/bond 2019-03-0,HK Main,85730,2018-03-06,2019-02-28,2019-03-06,Expired
202,3988,Note/bond 2019-07-1,HK Main,5235,2017-07-12,2019-07-08,2019-07-12,Expired
203,3988,Note/bond 2019-11-2,HK Main,5838,2014-11-27,2019-11-21,2019-11-27,Expired
204,3988,Note/bond 2020-02-1,HK Main,5370,2017-02-15,,,
205,3988,Note/bond 2020-02-1,HK Main,5368,2017-02-15,,,
206,3988,Note/bond 2020-04-1,HK Main,85742,2019-04-18,,,
207,3988,Note/bond 2020-04-2,HK Main,5429,2017-04-21,,,
208,3988,Note/bond 2020-04-2,HK Main,5430,2017-04-21,,,
209,3988,Note/bond 2020-04-2,HK Main,85726,2017-04-21,,,
210,3988,Note/bond 2020-05-1,HK Main,5200,2017-05-12,,,
211,3988,Note/bond 2020-06-0,HK Main,5113,2018-06-08,,,
212,3988,Note/bond 2020-06-3,HK Main,5537,2015-07-02,,,
213,3988,Note/bond 2020-11-2,HK Main,5294,2018-11-21,,,
214,3988,Note/bond 2020-11-2,HK Main,5346,2018-11-21,,,
215,3988,Note/bond 2021-03-0,HK Main,5616,2016-03-02,,,
216,3988,Note/bond 2021-03-0,HK Main,85731,2018-03-06,,,
217,3988,Note/bond 2021-03-0,HK Main,4439,2018-03-09,,,
218,3988,Note/bond 2021-04-1,HK Main,4459,2018-04-18,,,
219,3988,Note/bond 2021-04-1,HK Main,4461,2018-04-18,,,
220,3988,Note/bond 2021-04-1,HK Main,4462,2018-04-18,,,
221,3988,Note/bond 2021-04-1,HK Main,5969,2019-04-18,,,
222,3988,Note/bond 2021-06-0,HK Main,5114,2018-06-08,,,
223,3988,Note/bond 2021-08-0,HK Main,5137,2018-08-10,,,
224,3988,Note/bond 2021-10-1,HK Main,85907,2019-10-17,,,
225,3988,Note/bond 2021-10-1,HK Main,40020,2019-10-17,,,
226,3988,Note/bond 2021-11-2,HK Main,5450,2018-11-21,,,
227,3988,Note/bond 2021-11-2,HK Main,85739,2018-11-21,,,
228,3988,Note/bond 2022-02-1,HK Main,5369,2017-02-15,,,
229,3988,Note/bond 2022-04-1,HK Main,5965,2019-04-18,,,
230,3988,Note/bond 2022-04-1,HK Main,5967,2019-04-18,,,
231,3988,Note/bond 2022-04-1,HK Main,85743,2019-04-18,,,
232,3988,Note/bond 2022-04-2,HK Main,5431,2017-04-21,,,
233,3988,Note/bond 2022-04-2,HK Main,5432,2017-04-21,,,
234,3988,Note/bond 2022-07-1,HK Main,5236,2017-07-12,,,
235,3988,Note/bond 2022-10-1,HK Main,5968,2019-04-18,,,
236,3988,Note/bond 2022-10-1,HK Main,40021,2019-10-18,,,
237,3988,Note/bond 2023-03-0,HK Main,4440,2018-03-09,,,
238,3988,Note/bond 2023-04-1,HK Main,4460,2018-04-18,,,
239,3988,Note/bond 2023-06-0,HK Main,5115,2018-06-08,,,
240,3988,Note/bond 2023-11-2,HK Main,5451,2018-11-21,,,
241,3988,Note/bond 2024-04-1,HK Main,5974,2019-04-18,,,
242,3988,Note/bond 2024-11-1,HK Main,5828,2014-11-14,,,
243,3988,Note/bond 2024-12-0,HK Main,40089,2019-12-06,,,
244,3988,Note/bond 2025-06-3,HK Main,5538,2015-07-02,,,
245,3988,Note/bond 2027-04-2,HK Main,5433,2017-04-21,,,
246,3988,Note/bond 2028-03-0,HK Main,4441,2018-03-09,,,
247,3988,Note/bond 2029-04-1,HK Main,5982,2019-04-18,,,
248,4605,PRC ordinary shares listed in HK,HK Main,3328,2005-06-23,,,
249,4605,A-share,Shang,601328,2007-05-15,,,
250,4605,Preference,HK Main,4605,2015-07-30,,,
251,4605,Nil-paid rights 2010-07-0,HK Main,2918,2010-06-28,2010-07-06,2010-07-07,Expired
252,4605,Note/bond 2016-0,HK Main,85954,2014-03-21,2016-03-16,2016-03-22,Expired
253,4605,Note/bond 2017-01-1,HK Main,6007,2014-01-16,2017-01-11,2017-01-17,Expired
254,4605,Note/bond 2018-01-1,HK Main,5856,2015-01-19,2018-01-11,2018-01-17,Expired
255,4605,Note/bond 2018-08-2,HK Main,5561,2015-08-24,2018-08-16,2018-08-22,Expired
256,4605,Note/bond 2019-01-2,HK Main,5609,2016-01-26,2019-01-22,2019-01-28,Expired
257,4605,Note/bond 2019-03-2,HK Main,5620,2016-03-22,2019-03-18,2019-03-22,Expired
258,4605,Note/bond 2019-04-2,HK Main,5729,2014-04-28,2019-04-18,2019-04-26,Expired
259,4605,Note/bond 2019-08-1,HK Main,5698,2016-08-17,2019-08-13,2019-08-19,Expired
260,4605,Note/bond 2020-02-2,HK Main,5376,2017-02-22,,,
261,4605,Note/bond 2020-05-1,HK Main,5202,2017-05-16,,,
262,4605,Note/bond 2020-05-1,HK Main,4495,2018-05-21,,,
263,4605,Note/bond 2020-08-2,HK Main,5560,2015-08-24,,,
264,4605,Note/bond 2020-12-0,HK Main,5046,2017-12-05,,,
265,4605,Note/bond 2021-03-2,HK Main,5621,2016-03-22,,,
266,4605,Note/bond 2021-03-2,HK Main,85741,2019-03-22,,,
267,4605,Note/bond 2021-05-1,HK Main,4493,2018-05-18,,,
268,4605,Note/bond 2022-03-2,HK Main,5912,2019-03-22,,,
269,4605,Note/bond 2022-05-1,HK Main,5203,2017-05-16,,,
270,4605,Note/bond 2022-12-0,HK Main,5047,2017-12-05,,,
271,4605,Note/bond 2023-03-0,HK Main,5909,2013-03-07,,,
272,4605,Note/bond 2023-05-1,HK Main,4494,2018-05-18,,,
273,4605,Note/bond 2024-03-2,HK Main,5914,2019-03-22,,,
274,4605,Note/bond 2024-10-0,HK Main,5808,2014-10-06,2019-10-08,2019-10-14,Redeemed
275,4605,Note/bond 2026-10-0,HK Main,5809,2014-10-06,,,
276,4606,PRC ordinary shares listed in HK,HK Main,0939,2005-10-27,,,
277,4606,A-share,Shang,601939,2007-09-25,,,
278,4606,Preference,HK Main,4606,2015-12-17,,,
279,4606,Nil-paid rights 2010-12-0,HK Main,2948,2010-11-23,2010-12-03,2010-12-06,Expired
280,4606,Note/bond 2019-09-3,HK Main,4564,2016-10-03,2019-09-25,2019-10-02,Expired
281,4606,Note/bond 2020-01-2,HK Main,5860,2015-01-21,,,
282,4606,Note/bond 2020-05-3,HK Main,5212,2017-06-01,,,
283,4606,Note/bond 2020-12-0,HK Main,5049,2017-12-05,,,
284,4606,Note/bond 2020-12-0,HK Main,5051,2017-12-05,,,
285,4606,Note/bond 2021-06-0,HK Main,5111,2018-06-11,,,
286,4606,Note/bond 2021-09-2,HK Main,5173,2018-09-26,,,
287,4606,Note/bond 2021-10-2,HK Main,5711,2016-10-24,,,
288,4606,Note/bond 2022-06-1,HK Main,5217,2017-06-14,,,
289,4606,Note/bond 2022-10-2,HK Main,40027,2019-10-23,,,
290,4606,Note/bond 2022-12-0,HK Main,5050,2017-12-05,,,
291,4606,Note/bond 2023-06-0,HK Main,5112,2018-06-11,,,
292,4606,Note/bond 2024-10-2,HK Main,40035,2019-10-25,,,
293,4606,Note/bond 2024-11-1,HK Main,85998,2014-11-13,2019-11-15,2019-11-21,Redeemed
294,4606,Note/bond 2025-05-1,HK Main,5514,2015-05-14,,,
295,4606,Note/bond 2029-02-2,HK Main,5802,2019-02-28,,,
296,4608,PRC ordinary shares listed in HK,HK Main,3698,2013-11-12,,,
297,4608,Preference,HK Main,4608,2016-11-11,,,
298,4609,PRC ordinary shares listed in HK,HK Main,1988,2009-11-26,,,
299,4609,A-share,Shang,600016,2000-12-19,,,
300,4609,Preference,HK Main,4609,2016-12-15,,,
301,4609,Note/bond 2018-05-2,HK Main,5518,2015-05-22,2018-05-16,2018-05-23,Expired
302,4609,Note/bond 2020-05-0,HK Main,4581,2017-05-08,,,
303,4609,Note/bond 2020-09-1,HK Main,5268,2017-09-12,,,
304,4609,Note/bond 2020-11-1,HK Main,5018,2017-11-16,,,
305,4609,Note/bond 2020-11-1,HK Main,5017,2017-11-16,,,
306,4609,Note/bond 2021-03-0,HK Main,4444,2018-03-12,,,
307,4609,Note/bond 2022-09-1,HK Main,5269,2017-09-12,,,
308,4609,Note/bond 2023-03-0,HK Main,4445,2018-03-12,,,
309,4610,PRC ordinary shares listed in HK,HK Main,2016,2016-03-30,,,
310,4610,A-share,Shang,601916,2019-11-26,,,
311,4610,Preference,HK Main,4610,2017-03-30,,,
312,4611,PRC ordinary shares listed in HK,HK Main,3866,2015-12-03,,,
313,4611,Preference,HK Main,4611,2017-09-20,,,
314,4612,PRC ordinary shares listed in HK,HK Main,1658,2016-09-28,,,
315,4612,A-share,Shang,601658,2019-12-10,,,
316,4612,Preference,HK Main,4612,2017-09-28,,,
317,4613,PRC ordinary shares listed in HK,HK Main,6196,2015-12-23,,,
318,4613,A-share,ShenSME,002936,2018-09-19,,,
319,4613,Preference,HK Main,4613,2017-10-19,,,
320,4614,PRC ordinary shares listed in HK,HK Main,3968,2006-09-22,,,
321,4614,A-share,Shang,600036,2002-04-09,,,
322,4614,Preference,HK Main,4614,2017-10-26,,,
323,4614,Nil-paid rights 2010-03-2,HK Main,2998,2010-03-17,2010-03-24,2010-03-25,Expired
324,4614,Nil-paid rights 2013-09-1,HK Main,2939,2013-09-09,2013-09-16,2013-09-17,Expired
325,4614,Note/bond 2017-04-1,HK Main,85957,2014-04-11,2017-04-05,2017-04-11,Expired
326,4614,Note/bond 2017-06-1,HK Main,5761,2014-06-13,2017-06-07,2017-06-13,Expired
327,4614,Note/bond 2018-05-1,HK Main,5515,2015-05-15,2018-05-09,2018-05-15,Expired
328,4614,Note/bond 2019-08-1,HK Main,5789,2014-08-12,2019-08-07,2019-08-13,Expired
329,4614,Note/bond 2020-06-1,HK Main,5219,2017-06-13,,,
330,4614,Note/bond 2021-06-0,HK Main,5108,2018-06-04,,,
331,4614,Note/bond 2021-09-2,HK Main,5178,2018-09-27,,,
332,4614,Note/bond 2022-06-1,HK Main,5079,2019-06-20,,,
333,4614,Note/bond 2023-09-2,HK Main,5179,2018-09-27,,,
334,4615,PRC ordinary shares listed in HK,HK Main,0416,2015-12-07,,,
335,4615,Preference,HK Main,4615,2017-10-30,,,
336,4616,PRC ordinary shares listed in HK,HK Main,1963,2013-11-06,,,
337,4616,Preference,HK Main,4616,2017-12-21,,,
338,4617,PRC ordinary shares listed in HK,HK Main,1216,2017-07-19,,,
339,4617,Preference,HK Main,4617,2018-11-22,,,
340,4618,PRC ordinary shares listed in HK,HK Main,1551,2017-06-20,,,
341,4618,Preference,HK Main,4618,2019-06-21,,,
342,6122,PRC ordinary shares listed in HK,HK Main,6122,2017-01-12,,,
343,6138,PRC ordinary shares listed in HK,HK Main,6138,2014-03-31,,,
344,6190,PRC ordinary shares listed in HK,HK Main,6190,2018-07-10,,,
345,6196,PRC ordinary shares listed in HK,HK Main,6196,2015-12-23,,,
346,6196,A-share,ShenSME,002936,2018-09-19,,,
347,6196,Preference,HK Main,4613,2017-10-19,,,
348,6818,PRC ordinary shares listed in HK,HK Main,6818,2013-12-20,,,
349,6818,A-share,Shang,601818,2010-08-18,,,
350,6818,Note/bond 2019-09-1,HK Main,4500,2016-09-19,2019-09-11,2019-09-17,Expired
351,6818,Note/bond 2020-03-0,HK Main,5392,2017-03-09,,,
352,6818,Note/bond 2020-06-1,HK Main,5216,2017-06-14,,,
353,6818,Note/bond 2021-06-1,HK Main,5116,2018-06-14,,,
354,6818,Note/bond 2021-09-1,HK Main,5171,2018-09-21,,,
355,6818,Note/bond 2022-06-2,HK Main,5298,2019-06-25,,,
356,662,Ordinary shares,HK Main,0103,,1990-12-05,1990-12-11,Merger
357,662,Ordinary shares,,1990-12-05,1990-12-11,Merger,HK Main,0662
358,945,Ordinary shares,HK Sec,0945,1999-09-27,,,
359,945,Ordinary shares,1999-09-27,,,,Toronto,MFC
360,966,Ordinary shares,HK Main,0966,2000-06-29,,,
361,966,Nil-paid rights 2014-11-1,HK Main,2978,2014-11-05,2014-11-13,2014-11-14,Expired
362,966,Note/bond,HK Main,5799,2014-09-11,2019-09-12,2019-09-18,Redeemed
